title,catogery,rate,price,availability
Killing Floor (Jack Reacher ...,Thriller,Four,£31.49,In stock
The Bone Hunters (Lexy ...,Thriller,Three,£59.71,In stock
Far From True (Promise ...,Thriller,Two,£34.93,In stock
The Travelers,Thriller,One,£15.77,In stock
When We Collided,Contemporary,One,£31.77,In stock
Someone Like You (The ...,Contemporary,Five,£52.79,In stock
We Are All Completely ...,Contemporary,One,£24.04,In stock
The Four Agreements: A ...,Spirituality,Five,£17.66,In stock
The Activist's Tao Te ...,Spirituality,Five,£32.24,In stock
Chasing Heaven: What Dying ...,Spirituality,Two,£37.80,In stock
If I Gave You ...,Spirituality,One,£20.91,In stock
Unreasonable Hope: Finding Faith ...,Spirituality,Two,£46.33,In stock
A New Earth: Awakening ...,Spirituality,Five,£55.65,In stock
Logan Kade (Fallen Crest ...,Academic,Two,£13.12,In stock
Online Marketing for Busy ...,Self Help,One,£46.35,In stock
How to Be Miserable: ...,Self Help,One,£46.03,In stock
"Overload: How to Unplug, ...",Self Help,Three,£52.15,In stock
You Are a Badass: ...,Self Help,Three,£12.08,In stock
How to Stop Worrying ...,Self Help,Five,£46.49,In stock
All the Light We ...,Historical,Five,£29.87,In stock
The Girl You Left ...,Historical,One,£15.79,In stock
(Un)Qualified: How God Uses ...,Christian,Five,£54.00,In stock
Crazy Love: Overwhelmed by ...,Christian,Two,£47.72,In stock
Blue Like Jazz: Nonreligious ...,Christian,One,£25.77,In stock
Silence in the Dark ...,Suspense,Three,£58.33,In stock
The Grownup,Short Stories,One,£35.88,In stock
Suzie Snowflake: One beautiful ...,Novels,Five,£54.81,In stock
The Bulletproof Diet: Lose ...,Health,Three,£49.05,In stock
"Eat Fat, Get Thin",Health,Two,£54.07,In stock
10-Day Green Smoothie Cleanse: ...,Health,Five,£49.71,In stock
The Art and Science ...,Health,Five,£52.98,In stock
Libertarianism for Beginners,Politics,Two,£51.33,In stock
Why the Right Went ...,Politics,Four,£52.65,In stock
Equal Is Unfair: America's ...,Politics,One,£56.86,In stock
Amid the Chaos,Cultural,One,£36.58,In stock
Dark Notes,Erotica,Five,£19.19,In stock
The Long Shadow of ...,Crime,One,£10.97,In stock
